,length,space,has .,has %,has percent,label
2.3%,4,0,1,1,0,0
11 percent,10,1,0,0,1,1
7 percent,9,1,0,0,1,1
61.8%,5,0,1,1,0,0
65 percent,10,1,0,0,1,1
1.4 percent,11,1,1,0,1,1
36 percent,10,1,0,0,1,1
7.8%,4,0,1,1,0,0
35 percent,10,1,0,0,1,1
4.5 percent,11,1,1,0,1,1
7.2 percent,11,1,1,0,1,1
8 percent,9,1,0,0,1,1
24 44 percent,13,2,0,0,1,0
7.7 percent,11,1,1,0,1,1
50%,3,0,0,1,0,1
7.8 percent,11,1,1,0,1,1
21%,3,0,0,1,0,1
34%,3,0,0,1,0,1
almost 2%,9,1,0,1,0,0
8.3 percent,11,1,1,0,1,1
34 percent,10,1,0,0,1,1
13%,3,0,0,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
1.4%,4,0,1,1,0,0
17 percent,10,1,0,0,1,1
14.4%,5,0,1,1,0,0
nearly +16 percent,18,2,0,0,1,0
10 percent,10,1,0,0,1,1
40 0.2 percent,14,2,1,0,1,0
0.3%,4,0,1,1,0,0
2.1%,4,0,1,1,0,0
1.3 percent,11,1,1,0,1,1
30%,3,0,0,1,0,1
23 percent,10,1,0,0,1,1
0.0%,4,0,1,1,0,0
2.8%,4,0,1,1,0,0
1.6 percent,11,1,1,0,1,1
7.1 percent,11,1,1,0,1,1
6.5 percent,11,1,1,0,1,1
2.2 percent,11,1,1,0,1,1
16 percent,10,1,0,0,1,1
9 percent,9,1,0,0,1,1
10%,3,0,0,1,0,1
20.2 percent,12,1,1,0,1,1
63.6%,5,0,1,1,0,0
500%,4,0,0,1,0,1
0.8 percent,11,1,1,0,1,1
9.4 percent,11,1,1,0,1,1
0.825%,6,0,1,1,0,0
13 percent,10,1,0,0,1,1
1.94 percent,12,1,1,0,1,1
7.6 percent,11,1,1,0,1,1
90 percent,10,1,0,0,1,1
25 30 percent,13,2,0,0,1,0
14%,3,0,0,1,0,1
6.5%,4,0,1,1,0,0
25%,3,0,0,1,0,1
13%,3,0,0,1,0,1
3%,2,0,0,1,0,1
5 percent,9,1,0,0,1,1
50%,3,0,0,1,0,1
7.1 percent,11,1,1,0,1,1
6%,2,0,0,1,0,1
3 percent,9,1,0,0,1,1
95%,3,0,0,1,0,1
20%,3,0,0,1,0,1
roughly 40%,11,1,0,1,0,0
7.8 percent,11,1,1,0,1,1
almost 2 percent week,21,3,0,0,1,0
roughly 1.5%,12,1,1,1,0,0
10%,3,0,0,1,0,1
1%,2,0,0,1,0,1
2.4%,4,0,1,1,0,0
21 percent,10,1,0,0,1,1
2 percent,9,1,0,0,1,1
16 percent,10,1,0,0,1,1
around 6.0 percent,18,2,1,0,1,0
4.5 percent,11,1,1,0,1,1
2.23%,5,0,1,1,0,1
16.5 percent,12,1,1,0,1,1
-0.1%,5,0,1,1,0,0
20 percent,10,1,0,0,1,1
3.1 percent,11,1,1,0,1,1
Conservatives 29 percent,24,2,0,0,1,0
4 percent,9,1,0,0,1,1
10.5 percent,12,1,1,0,1,1
9.2%,4,0,1,1,0,0
3.2 percent,11,1,1,0,1,1
7.9 percent,11,1,1,0,1,1
38 percent,10,1,0,0,1,1
11 percent,10,1,0,0,1,1
0.1 percent,11,1,1,0,1,1
46.3 percent,12,1,1,0,1,0
13 percent,10,1,0,0,1,1
0.2 percentage point,20,2,1,0,1,0
20%,3,0,0,1,0,1
around 40 percent,17,2,0,0,1,0
0.5 percent,11,1,1,0,1,1
2.82%,5,0,1,1,0,1
8%,2,0,0,1,0,1
25%,3,0,0,1,0,1
nearly zero percent,19,2,0,0,1,0
7.1 percent,11,1,1,0,1,1
6.5 percent,11,1,1,0,1,1
12%,3,0,0,1,0,1
62%,3,0,0,1,0,1
35%,3,0,0,1,0,1
15.32 percent,13,1,1,0,1,0
8.2 percent,11,1,1,0,1,1
38%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
0.18%,5,0,1,1,0,1
500 0.5 percent,15,2,1,0,1,0
0.27%,5,0,1,1,0,1
8 percent,9,1,0,0,1,1
39%,3,0,0,1,0,1
0.26%,5,0,1,1,0,1
9 percent,9,1,0,0,1,1
74 percent,10,1,0,0,1,1
around 80 percent,17,2,0,0,1,0
0.46%,5,0,1,1,0,1
4.6%,4,0,1,1,0,0
30 percent,10,1,0,0,1,1
39.1 percent,12,1,1,0,1,0
37.9 percent,12,1,1,0,1,0
7.7 percent,11,1,1,0,1,1
5 percent,9,1,0,0,1,1
20 percent,10,1,0,0,1,1
17%,3,0,0,1,0,1
0.3 percent,11,1,1,0,1,1
-0.09%,6,0,1,1,0,0
1.9%,4,0,1,1,0,0
4 percent,9,1,0,0,1,1
12 percent,10,1,0,0,1,1
15 percent,10,1,0,0,1,1
0.37%,5,0,1,1,0,1
9.2 percent,11,1,1,0,1,1
20-30%,6,0,0,1,0,1
11%,3,0,0,1,0,1
3.2 percent,11,1,1,0,1,1
1.8%,4,0,1,1,0,0
80%,3,0,0,1,0,1
15-20%,6,0,0,1,0,1
-14.5%,6,0,1,1,0,0
nearly 50 percent,17,2,0,0,1,0
nearly 40%,10,1,0,1,0,0
13 percent,10,1,0,0,1,1
12.5%,5,0,1,1,0,0
8.1 percent,11,1,1,0,1,1
10 percent,10,1,0,0,1,1
9.7 percent,11,1,1,0,1,1
0.24%,5,0,1,1,0,1
53 percent,10,1,0,0,1,1
9.3 percent,11,1,1,0,1,1
88%,3,0,0,1,0,1
6%,2,0,0,1,0,1
nearly 95%,10,1,0,1,0,0
60%,3,0,0,1,0,1
2.4 percent,11,1,1,0,1,1
-4%,3,0,0,1,0,0
5.1%,4,0,1,1,0,0
7.5 percent,11,1,1,0,1,1
Dow 3.8 percent,15,2,1,0,1,0
1.7%,4,0,1,1,0,0
43 percent,10,1,0,0,1,1
23 percent,10,1,0,0,1,1
4.9%,4,0,1,1,0,0
7.4 percent,11,1,1,0,1,1
3.7%,4,0,1,1,0,0
38%,3,0,0,1,0,1
11.7%,5,0,1,1,0,0
60 percent,10,1,0,0,1,1
6.5%,4,0,1,1,0,0
30 35 percent,13,2,0,0,1,0
battles 14th,12,1,0,0,0,0
5.5 - 7.0 percent,17,3,1,0,1,0
12 percent,10,1,0,0,1,1
20-30%,6,0,0,1,0,1
2-7 percent,11,1,0,0,1,0
27.5 26.6 percent,17,2,1,0,1,0
29.7 percent,12,1,1,0,1,0
34.8 percent,12,1,1,0,1,1
several hundred percent,23,2,0,0,1,0
120%,4,0,0,1,0,1
20%,3,0,0,1,0,1
0.1%,4,0,1,1,0,0
22 percent,10,1,0,0,1,1
19.2 percent,12,1,1,0,1,1
0.8%,4,0,1,1,0,0
3-5 percent,11,1,0,0,1,1
3.5 percent,11,1,1,0,1,1
2 percent,9,1,0,0,1,1
0.2 percentage,14,1,1,0,1,1
4 percent,9,1,0,0,1,1
less six percent,16,2,0,0,1,0
80%,3,0,0,1,0,1
31 percent,10,1,0,0,1,1
7 percent,9,1,0,0,1,1
2.6 percent,11,1,1,0,1,1
52 percent,10,1,0,0,1,1
Only 19 percent,15,2,0,0,1,0
7-8%,4,0,0,1,0,0
1-4 percent,11,1,0,0,1,0
2-3 percent,11,1,0,0,1,1
3-4%,4,0,0,1,0,1
7.4 percent,11,1,1,0,1,1
12%,3,0,0,1,0,1
14.5%,5,0,1,1,0,0
4.5 percent,11,1,1,0,1,1
13.6%,5,0,1,1,0,0
9.6 percent,11,1,1,0,1,1
90%,3,0,0,1,0,1
11.8%,5,0,1,1,0,0
7.8 percent,11,1,1,0,1,1
10.7%,5,0,1,1,0,0
165 percent,11,1,0,0,1,0
27 percent,10,1,0,0,1,1
13%,3,0,0,1,0,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
3%,2,0,0,1,0,1
astounding 52 percent,21,2,0,0,1,0
6/4/12 10/15/12,15,1,0,0,0,0
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
-5.6%,5,0,1,1,0,0
9-10 percent,12,1,0,0,1,0
55 percent,10,1,0,0,1,1
6.3 percent,11,1,1,0,1,1
nearly 50%,10,1,0,1,0,0
nearly 80 percent,17,2,0,0,1,0
6.5 percent,11,1,1,0,1,1
5.9 percent,11,1,1,0,1,1
6 percent,9,1,0,0,1,1
19 percent,10,1,0,0,1,1
1 percent,9,1,0,0,1,1
66 percent,10,1,0,0,1,1
9 percent,9,1,0,0,1,1
3.9 percent,11,1,1,0,1,1
7.5%,4,0,1,1,0,0
40%,3,0,0,1,0,1
10%,3,0,0,1,0,1
0.4%,4,0,1,1,0,0
6.4 percent,11,1,1,0,1,1
5 percent,9,1,0,0,1,1
1.1 percent,11,1,1,0,1,1
six percent,11,1,0,0,1,1
100%,4,0,0,1,0,1
23.6%,5,0,1,1,0,0
12.9%,5,0,1,1,0,0
14 percent,10,1,0,0,1,1
9.1 percent,11,1,1,0,1,1
13 percent,10,1,0,0,1,1
10.25%,6,0,1,1,0,1
9.3%,4,0,1,1,0,0
7.3 percent,11,1,1,0,1,1
17.7 percent,12,1,1,0,1,1
92 percent,10,1,0,0,1,1
0.5%,4,0,1,1,0,0
41 percent,10,1,0,0,1,1
around 40 percent,17,2,0,0,1,0
10.6%,5,0,1,1,0,0
0.7%,4,0,1,1,0,0
88%,3,0,0,1,0,1
4-5 percent,11,1,0,0,1,1
10.0%,5,0,1,1,0,0
25%,3,0,0,1,0,1
28.1%,5,0,1,1,0,0
21.2%,5,0,1,1,0,0
17.5%,5,0,1,1,0,0
21 percent,10,1,0,0,1,1
38%,3,0,0,1,0,1
26%,3,0,0,1,0,1
73 percent,10,1,0,0,1,1
18 percent,10,1,0,0,1,1
60 percent,10,1,0,0,1,1
181.8%,6,0,1,1,0,0
0.2%,4,0,1,1,0,0
18.1%,5,0,1,1,0,0
1.9 percent,11,1,1,0,1,1
19.0%,5,0,1,1,0,0
43.9%,5,0,1,1,0,0
40-70 percent,13,1,0,0,1,0
eight nine percent,18,2,0,0,1,0
3 percent,9,1,0,0,1,1
4.6 percent,11,1,1,0,1,1
14.1 percent,12,1,1,0,1,1
20%,3,0,0,1,0,1
5%,2,0,0,1,0,1
45%,3,0,0,1,0,1
35.4%,5,0,1,1,0,0
12.7%,5,0,1,1,0,0
13.3%,5,0,1,1,0,0
0 percent,9,1,0,0,1,1
2.9 percent,11,1,1,0,1,1
2.50 percent,12,1,1,0,1,0
3.5 percent,11,1,1,0,1,1
2 percent,9,1,0,0,1,1
50 percent,10,1,0,0,1,1
8.24%,5,0,1,1,0,0
15%,3,0,0,1,0,1
42.2%,5,0,1,1,0,0
72.7%,5,0,1,1,0,0
15 percent,10,1,0,0,1,1
12.0%,5,0,1,1,0,0
31.0%,5,0,1,1,0,0
2.6 percent,11,1,1,0,1,1
62.5%,5,0,1,1,0,0
62 percent,10,1,0,0,1,1
1.80%,5,0,1,1,0,1
19.4%,5,0,1,1,0,0
5.0%,4,0,1,1,0,0
0.45%,5,0,1,1,0,1
7.8%,4,0,1,1,0,0
69%,3,0,0,1,0,1
4.5 percent,11,1,1,0,1,1
9.6 percent,11,1,1,0,1,1
20 percent,10,1,0,0,1,1
14th Amendment U.S. Constitution,32,3,1,0,0,0
1.7 percent,11,1,1,0,1,1
0.61 percent,12,1,1,0,1,1
0.67%,5,0,1,1,0,1
13%,3,0,0,1,0,1
3%,2,0,0,1,0,1
7%,2,0,0,1,0,1
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
6.9 percent,11,1,1,0,1,1
0.3%,4,0,1,1,0,0
5.1%,4,0,1,1,0,0
1.1%,4,0,1,1,0,0
30%,3,0,0,1,0,1
23 percent,10,1,0,0,1,1
38.6%,5,0,1,1,0,0
100 percent,11,1,0,0,1,1
2.2 percent,11,1,1,0,1,1
35%,3,0,0,1,0,1
13.9%,5,0,1,1,0,0
1 percent,9,1,0,0,1,1
roughly 10%,11,1,0,1,0,0
100 0.75 percent,16,2,1,0,1,0
21.2 percent,12,1,1,0,1,1
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
35.3%,5,0,1,1,0,0
2.50%,5,0,1,1,0,1
9%,2,0,0,1,0,1
5 percent,9,1,0,0,1,1
1.5 percent,11,1,1,0,1,1
20-50 percent,13,1,0,0,1,0
61.1%,5,0,1,1,0,0
80 percent,10,1,0,0,1,1
six percent,11,1,0,0,1,1
9.2 percent,11,1,1,0,1,1
3.8 percent,11,1,1,0,1,1
8.2%,4,0,1,1,0,0
2.00%,5,0,1,1,0,1
0.7%,4,0,1,1,0,0
25 percent,10,1,0,0,1,1
117%,4,0,0,1,0,1
8.6%,4,0,1,1,0,0
1.0 percent,11,1,1,0,1,1
21.2%,5,0,1,1,0,0
38%,3,0,0,1,0,1
100 0.1%,8,1,1,1,0,0
0.00%,5,0,1,1,0,1
6.5%,4,0,1,1,0,0
0.2%,4,0,1,1,0,0
one percent,11,1,0,0,1,1
1.9 percent,11,1,1,0,1,1
0.75 percent,12,1,1,0,1,1
around 9.5 percent,18,2,1,0,1,0
6.7%,4,0,1,1,0,0
3 percent,9,1,0,0,1,1
2.5%,4,0,1,1,0,0
4 6 percent,11,2,0,0,1,0
3.8%,4,0,1,1,0,0
27%,3,0,0,1,0,1
24.2%,5,0,1,1,0,0
61%,3,0,0,1,0,1
14.1 percent,12,1,1,0,1,1
20%,3,0,0,1,0,1
19%,3,0,0,1,0,1
5%,2,0,0,1,0,1
0.1%,4,0,1,1,0,0
6%,2,0,0,1,0,1
17.5 billionjust 100%,21,2,1,1,0,0
112%,4,0,0,1,0,1
0 percent,9,1,0,0,1,1
4.3 percent,11,1,1,0,1,1
2.2%,4,0,1,1,0,0
2 percent,9,1,0,0,1,1
40-70%,6,0,0,1,0,1
50 percent,10,1,0,0,1,1
30 percent,10,1,0,0,1,1
127%,4,0,0,1,0,1
1%,2,0,0,1,0,1
2-2.3%,6,0,1,1,0,0
8.24%,5,0,1,1,0,0
15%,3,0,0,1,0,1
15 percent,10,1,0,0,1,1
70 percent,10,1,0,0,1,1
-0.5%,5,0,1,1,0,0
93 percent,10,1,0,0,1,1
2.3 percent,11,1,1,0,1,1
4.3%,4,0,1,1,0,0
131.5%,6,0,1,1,0,0
-1.4%,5,0,1,1,0,0
almost 9 percent,16,2,0,0,1,0
8 percent,9,1,0,0,1,1
3050%,5,0,0,1,0,0
‑1.5%,5,0,1,1,0,0
1.2 percent,11,1,1,0,1,1
0.385 percent,13,1,1,0,1,0
27.5%,5,0,1,1,0,0
50%,3,0,0,1,0,1
90%,3,0,0,1,0,1
11.5 percent,12,1,1,0,1,1
9.2%,4,0,1,1,0,0
1.8 percent,11,1,1,0,1,1
7.9 percent,11,1,1,0,1,1
94 percent,10,1,0,0,1,1
another 1/2%,12,1,0,1,0,0
13%,3,0,0,1,0,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
2.6%,4,0,1,1,0,0
around 10 percent,17,2,0,0,1,0
95%,3,0,0,1,0,1
30%,3,0,0,1,0,1
-0.2%,5,0,1,1,0,0
45 percent,10,1,0,0,1,1
3.9%,4,0,1,1,0,0
6 percent,9,1,0,0,1,1
9 percent,9,1,0,0,1,1
44.3%,5,0,1,1,0,0
2.0 percent,11,1,1,0,1,1
37.1%,5,0,1,1,0,0
0.4%,4,0,1,1,0,0
73.9%,5,0,1,1,0,0
5 percent,9,1,0,0,1,1
1.5 percent,11,1,1,0,1,1
six percent,11,1,0,0,1,1
0.5 1.0 percent,15,2,1,0,1,0
93%,3,0,0,1,0,1
33%,3,0,0,1,0,1
92 percent,10,1,0,0,1,1
29%,3,0,0,1,0,1
90 percent,10,1,0,0,1,1
12.1%,5,0,1,1,0,0
88%,3,0,0,1,0,1
0.7%,4,0,1,1,0,0
34.5 percent,12,1,1,0,1,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
5.2%,4,0,1,1,0,0
almost 250 percent,18,2,0,0,1,0
2.8%,4,0,1,1,0,0
100 percent,11,1,0,0,1,1
2.2 percent,11,1,1,0,1,1
16%,3,0,0,1,0,1
7.4%,4,0,1,1,0,0
6.1%,4,0,1,1,0,0
2.2%,4,0,1,1,0,0
approximately 22%,17,1,0,1,0,0
5.1 percent,11,1,1,0,1,1
2 percent,9,1,0,0,1,1
1 percent,9,1,0,0,1,1
58 percent,10,1,0,0,1,1
4.5 percent,11,1,1,0,1,1
7.2 percent,11,1,1,0,1,1
39%,3,0,0,1,0,1
120 percent,11,1,0,0,1,1
6.93 percent,12,1,1,0,1,1
8.25%,5,0,1,1,0,0
40%,3,0,0,1,0,1
3.6%,4,0,1,1,0,0
1%,2,0,0,1,0,1
30 percent,10,1,0,0,1,1
4.5%,4,0,1,1,0,0
6.5%,4,0,1,1,0,0
around 2.3 percent,18,2,1,0,1,0
9%,2,0,0,1,0,1
1.5 percent,11,1,1,0,1,1
50%,3,0,0,1,0,1
one percent,11,1,0,0,1,1
1.1 percent,11,1,1,0,1,1
2-5%,4,0,0,1,0,0
3.1 percent,11,1,1,0,1,1
0.66%,5,0,1,1,0,1
4.8%,4,0,1,1,0,0
15 percent,10,1,0,0,1,1
70 percent,10,1,0,0,1,1
100%,4,0,0,1,0,1
nearly three percent,20,2,0,0,1,0
31.6 percent,12,1,1,0,1,1
12.9%,5,0,1,1,0,0
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
9.8 percent,11,1,1,0,1,1
1.4%,4,0,1,1,0,0
27%,3,0,0,1,0,1
2.3%,4,0,1,1,0,0
6.2 percent,11,1,1,0,1,1
4.1%,4,0,1,1,0,0
7 percent,9,1,0,0,1,1
2.1 percent,11,1,1,0,1,1
5.5%,4,0,1,1,0,0
1.4 percent,11,1,1,0,1,1
20%,3,0,0,1,0,1
2.8 percent,11,1,1,0,1,1
4.3%,4,0,1,1,0,0
around 50%,10,1,0,1,0,0
14%,3,0,0,1,0,1
90 percent,10,1,0,0,1,1
6%-8%,5,0,0,1,0,0
two percent,11,1,0,0,1,1
5%,2,0,0,1,0,1
60%,3,0,0,1,0,1
11.9%,5,0,1,1,0,0
8%,2,0,0,1,0,1
25%,3,0,0,1,0,1
7.3%,4,0,1,1,0,0
30%,3,0,0,1,0,1
17%,3,0,0,1,0,1
25 percent,10,1,0,0,1,1
7.8%,4,0,1,1,0,0
1.6%,4,0,1,1,0,0
3.5 percent,11,1,1,0,1,1
2 percent,9,1,0,0,1,1
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
34%,3,0,0,1,0,1
99%,3,0,0,1,0,1
2%,2,0,0,1,0,1
48%,3,0,0,1,0,1
3.3 percent,11,1,1,0,1,1
28%,3,0,0,1,0,1
14%,3,0,0,1,0,1
19%,3,0,0,1,0,1
8.8%,4,0,1,1,0,0
88%,3,0,0,1,0,1
60%,3,0,0,1,0,1
11.0%,5,0,1,1,0,0
25%,3,0,0,1,0,1
9.9%,4,0,1,1,0,0
5 percent,9,1,0,0,1,1
0.1%,4,0,1,1,0,0
2.9 percent,11,1,1,0,1,1
6.5 percent,11,1,1,0,1,1
31 percent,10,1,0,0,1,1
2%,2,0,0,1,0,1
2.5%,4,0,1,1,0,0
0.1 percent,11,1,1,0,1,1
7.8 percent,11,1,1,0,1,1
0.0806,6,0,1,0,0,0
9.2 percent,11,1,1,0,1,1
7 percent,9,1,0,0,1,1
